original_id,related_question_id,jaccard_distance,length_difference,relevance
Q201,Q201_R7,0.9508196721311475,165,Irrelevant
Q201,Q201_R23,0.9811320754716981,141,Irrelevant
Q201,Q201_R24,0.9433962264150944,152,Relevant
Q201,Q201_R26,1.0,33,Irrelevant
Q201,Q201_R27,0.9333333333333333,156,Irrelevant
Q201,Q201_R29,0.9361702127659575,98,Irrelevant
Q201,Q201_R31,0.9428571428571428,239,Irrelevant
Q201,Q201_R35,0.9230769230769231,330,Irrelevant
Q201,Q201_R41,0.9210526315789473,34,Irrelevant
Q201,Q201_R46,0.9767441860465116,100,Irrelevant
Q202,Q202_R3,0.8969072164948454,102,Relevant
Q202,Q202_R9,0.8314606741573034,96,PerfectMatch
Q202,Q202_R11,0.967391304347826,160,Relevant
Q202,Q202_R14,0.8953488372093024,128,Relevant
Q202,Q202_R15,0.8709677419354839,25,Relevant
Q202,Q202_R17,0.8876404494382022,112,Relevant
Q202,Q202_R20,0.8796296296296297,12,Relevant
Q202,Q202_R37,0.926605504587156,44,Relevant
Q202,Q202_R38,0.845360824742268,38,Relevant
Q202,Q202_R40,0.9382716049382716,211,Irrelevant
Q203,Q203_R2,0.8461538461538461,41,Relevant
Q203,Q203_R12,0.8974358974358975,10,Relevant
Q203,Q203_R14,0.8979591836734694,60,Relevant
Q203,Q203_R19,0.8658536585365854,53,Irrelevant
Q203,Q203_R26,0.9298245614035088,204,Relevant
Q203,Q203_R35,0.8255813953488372,38,Irrelevant
Q203,Q203_R37,1.0,237,Irrelevant
Q203,Q203_R39,0.8414634146341463,26,Irrelevant
Q203,Q203_R43,0.8953488372093024,11,Irrelevant
Q203,Q203_R49,0.8958333333333334,109,Irrelevant
Q204,Q204_R9,0.9259259259259259,299,PerfectMatch
Q204,Q204_R17,1.0,40,PerfectMatch
Q204,Q204_R28,1.0,40,PerfectMatch
Q204,Q204_R29,0.8833333333333333,318,PerfectMatch
Q204,Q204_R32,0.921875,329,PerfectMatch
Q204,Q204_R37,0.9722222222222222,103,Irrelevant
Q204,Q204_R40,0.9850746268656716,318,Relevant
Q204,Q204_R46,0.984375,345,Irrelevant
Q204,Q204_R49,1.0,47,PerfectMatch
Q204,Q204_R59,0.9824561403508771,271,Irrelevant
Q205,Q205_R3,0.8735632183908046,60,PerfectMatch
Q205,Q205_R14,0.9577464788732394,115,Relevant
Q205,Q205_R15,0.8823529411764706,32,Relevant
Q205,Q205_R18,0.8974358974358975,2,Relevant
Q205,Q205_R29,0.8865979381443299,125,Relevant
Q205,Q205_R30,0.8928571428571429,13,Irrelevant
Q205,Q205_R35,0.9117647058823529,100,Irrelevant
Q205,Q205_R41,0.8924731182795699,124,Relevant
Q205,Q205_R44,0.8602150537634409,69,PerfectMatch
Q205,Q205_R52,0.8688524590163934,126,Irrelevant
Q206,Q206_R6,0.9821428571428571,288,Irrelevant
Q206,Q206_R16,0.9824561403508771,244,Irrelevant
Q206,Q206_R17,0.9743589743589743,137,Irrelevant
Q206,Q206_R27,0.9841269841269841,252,Irrelevant
Q206,Q206_R30,1.0,394,Irrelevant
Q206,Q206_R36,0.9591836734693877,234,Irrelevant
Q206,Q206_R39,1.0,31,Irrelevant
Q206,Q206_R41,0.9310344827586207,69,Irrelevant
Q206,Q206_R43,0.9782608695652174,212,Irrelevant
Q206,Q206_R45,0.9666666666666667,77,Irrelevant
Q207,Q207_R23,0.9,140,Relevant
Q207,Q207_R46,0.9285714285714286,80,Irrelevant
Q207,Q207_R47,0.8297872340425532,9,Relevant
Q207,Q207_R50,0.9195402298850575,279,Irrelevant
Q207,Q207_R57,0.9195402298850575,255,Irrelevant
Q207,Q207_R61,0.9058823529411765,193,Irrelevant
Q207,Q207_R67,0.9574468085106383,40,Irrelevant
Q207,Q207_R82,0.9473684210526315,98,Irrelevant
Q207,Q207_R83,0.9139784946236559,279,Irrelevant
Q207,Q207_R94,0.9692307692307692,240,Irrelevant
Q208,Q208_R7,0.9365079365079365,91,Relevant
Q208,Q208_R8,0.9428571428571428,115,Relevant
Q208,Q208_R10,0.8787878787878788,126,Relevant
Q208,Q208_R11,0.8974358974358975,54,Relevant
Q208,Q208_R14,0.918918918918919,72,Relevant
Q208,Q208_R16,0.8953488372093024,311,Relevant
Q208,Q208_R17,0.92,13,Irrelevant
